City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Atyrau,KZ,47.1167,51.8833,26.62,86,6,11.18,mist
230,Shimanovsk,RU,52.0,127.7,12.15,85,100,5.08,overcast clouds
231,Stokmarknes,NO,68.5646,14.9108,32.49,85,98,11.99,light snow
232,Mogapi,BW,-22.323,27.8349,63.25,65,39,3.22,scattered clouds
233,Alice Springs,AU,-23.7,133.8833,94.55,20,0,8.05,clear sky
234,Colac,AU,-38.3333,143.5833,80.15,30,0,5.88,clear sky
235,Buala,SB,-8.145,159.5921,79.34,86,100,3.49,overcast clouds
236,Nemuro,JP,43.3236,145.575,30.63,79,100,13.24,overcast clouds
237,Pathein,MM,16.7833,94.7333,84.52,20,18,7.65,few clouds
238,Arcos,BR,-20.2819,-45.5394,66.02,95,4,0.89,clear sky
239,Nikolskoye,RU,59.7035,30.7861,36.88,92,100,11.3,overcast clouds
240,San Quintin,MX,30.4833,-115.95,65.64,39,0,5.84,clear sky
241,Geraldton,AU,-28.7667,114.6,86.41,58,6,10.36,clear sky
242,Okhotsk,RU,59.3833,143.3,-0.49,75,0,13.76,clear sky
243,Avera,US,33.194,-82.5271,43.93,38,0,13.82,clear sky
244,Hays,US,30.0502,-98.0336,52.47,46,0,7.2,clear sky
245,Itarema,BR,-2.9248,-39.9167,78.82,82,22,11.23,few clouds
246,Sawtell,AU,-30.3833,153.1,75.22,77,100,4.61,overcast clouds
247,Bamiantong,CN,44.9333,130.5333,12.04,78,100,3.69,overcast clouds
248,Loreto,MX,22.2667,-101.9667,50.95,59,100,9.78,overcast clouds
249,Berdigestyakh,RU,62.0989,126.6992,-13.05,93,97,1.19,overcast clouds
250,Casma,CL,-41.0082,-73.1244,58.28,99,7,3.0,clear sky
251,Portland,US,45.5234,-122.6762,56.21,69,100,9.22,overcast clouds
252,Broome,US,42.2506,-75.833,13.17,78,47,3.0,scattered clouds
253,Mahebourg,MU,-20.4081,57.7,82.26,94,75,9.22,broken clouds
254,Uray,RU,60.1247,64.7758,-20.51,100,93,3.56,overcast clouds
255,Bam,IR,29.106,58.357,49.8,40,38,7.67,scattered clouds
256,Santa Cruz,BO,-17.8,-63.1667,72.86,83,75,2.3,broken clouds
257,Port Hedland,AU,-20.3167,118.5667,98.65,39,13,12.66,few clouds
258,La Ronge,CA,55.1001,-105.2842,1.65,85,40,3.44,scattered clouds
259,Mount Gambier,AU,-37.8333,140.7667,76.91,47,13,14.97,few clouds
260,Valparaiso,CL,-33.0393,-71.6273,66.47,79,0,4.61,clear sky
261,Saurimo,AO,-9.6608,20.3916,63.73,97,100,3.76,overcast clouds
262,Filadelfia,US,39.9523,-75.1638,30.11,75,100,11.5,overcast clouds
263,Nantucket,US,41.2835,-70.0995,35.15,90,100,22.95,light snow
264,Beringovskiy,RU,63.05,179.3167,-22.54,96,37,9.66,scattered clouds
265,Wanning,CN,18.8003,110.3967,68.41,90,100,9.48,overcast clouds
266,Vardo,NO,70.3705,31.1107,17.8,79,100,13.89,overcast clouds
267,Vuktyl,RU,63.8567,57.3094,-3.12,100,87,3.83,overcast clouds
268,Sovetskiy,RU,61.3614,63.5842,-14.91,100,59,2.51,broken clouds
269,Rawson,AR,-43.3002,-65.1023,64.96,81,22,32.95,few clouds
270,Paita,PE,-5.0892,-81.1144,73.53,80,95,7.09,overcast clouds
271,Mpongwe,ZM,-13.5091,28.155,62.1,97,83,2.46,light rain
272,Jampur,PK,29.6441,70.5954,64.26,34,58,13.73,broken clouds
273,Alexandria,EG,31.2156,29.9553,52.34,82,40,8.05,scattered clouds
274,General Pico,AR,-35.6566,-63.7568,60.17,40,0,8.5,clear sky
275,Maceio,BR,-9.6658,-35.7353,76.44,88,40,3.44,scattered clouds
276,Taoudenni,ML,22.6783,-3.9836,57.85,28,0,12.97,clear sky
277,Bukachacha,RU,52.9833,116.9167,1.0,76,89,2.33,overcast clouds
278,Itacoatiara,BR,-3.1431,-58.4442,74.01,95,100,1.54,overcast clouds
279,Poum,NC,-20.2333,164.0167,82.94,76,94,9.62,overcast clouds
280,Bonavista,CA,48.6499,-53.1147,28.11,65,100,11.45,overcast clouds
281,Berezovyy,RU,51.6667,135.7,16.7,85,100,3.24,overcast clouds
282,Harper,LR,4.375,-7.7169,76.93,87,57,3.56,light rain
283,Matay,EG,28.419,30.7792,49.66,81,4,12.8,clear sky
284,Porto Santo,PT,33.072,-16.3415,61.18,72,20,6.91,few clouds
285,Sorland,NO,67.667,12.6934,34.52,62,99,29.97,light snow
286,Ryotsu,JP,38.0833,138.4333,39.16,55,6,7.34,clear sky
287,Tarsus,TR,36.9188,34.8784,48.07,80,63,6.78,broken clouds
288,San Pedro,PH,14.35,121.0167,86.32,66,75,4.61,broken clouds
289,Kautokeino,NO,69.0125,23.0412,-13.52,100,53,4.81,broken clouds
290,Malanje,AO,-9.5402,16.341,64.02,98,100,3.83,light rain
291,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,77,75,8.99,broken clouds
292,San Jeronimo,PE,-11.9472,-75.2829,49.03,88,100,3.27,overcast clouds
293,Sabzevar,IR,36.2126,57.6819,34.88,64,0,11.5,clear sky
294,Deputatskiy,RU,69.3,139.9,-10.7,95,96,4.47,overcast clouds
295,Tchollire,CM,8.4022,14.1698,68.88,17,64,2.64,broken clouds
296,Ust-Nera,RU,64.5667,143.2,-19.37,96,48,1.23,scattered clouds
297,Bhatkal,IN,13.9667,74.5667,81.03,52,28,0.85,scattered clouds
298,Walvis Bay,NA,-22.9575,14.5053,73.09,83,0,4.61,clear sky
299,Isangel,VU,-19.55,169.2667,89.71,70,40,6.91,scattered clouds
300,Baghdad,IQ,33.3406,44.4009,42.71,75,0,2.3,clear sky
301,Chara,RU,56.9064,118.2631,-15.3,94,15,1.61,few clouds
302,Sakakah,SA,29.9697,40.2064,40.57,32,13,4.74,few clouds
303,Makakilo City,US,21.3469,-158.0858,73.72,58,0,10.36,clear sky
304,Kastamonu,TR,41.5,33.6667,28.22,96,100,1.48,overcast clouds
305,Oranjestad,AW,12.524,-70.027,78.75,73,20,16.11,few clouds
306,Talcahuano,CL,-36.7167,-73.1167,60.48,77,100,8.05,overcast clouds
307,Chuy,UY,-33.6971,-53.4616,58.28,64,5,9.42,clear sky
308,Anadyr,RU,64.75,177.4833,-32.01,66,20,13.42,few clouds
309,Atar,MR,20.5169,-13.0499,64.31,21,99,8.37,overcast clouds
310,Lixourion,GR,38.2019,20.4314,50.41,78,7,3.83,clear sky
