City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Bluff,NZ,2022-02-11 19:15:34,-46.6,168.3333,54.81,65,25,13.2
156,Ponta Do Sol,PT,2022-02-11 19:14:41,32.6667,-17.1,65.03,73,18,3.11
157,Gisors,FR,2022-02-11 19:15:34,49.2818,1.7801,42.94,79,100,5.23
158,Kudahuvadhoo,MV,2022-02-11 19:15:35,2.6708,72.8944,81.81,66,78,3.15
159,Nyurba,RU,2022-02-11 19:15:36,63.2842,118.3319,-12.15,100,87,3.4
160,Karpogory,RU,2022-02-11 19:15:36,64.0019,44.4451,21.83,97,99,5.37
161,Port Elizabeth,ZA,2022-02-11 19:15:37,-33.918,25.5701,66.49,88,0,0.0
162,Puerto Ayora,EC,2022-02-11 19:12:59,-0.7393,-90.3518,84.16,85,81,7.0
163,Trelew,AR,2022-02-11 19:15:38,-43.249,-65.3051,72.19,21,2,14.85
164,San Antonio,US,2022-02-11 19:15:29,29.4241,-98.4936,75.58,40,0,12.66
165,Williams Lake,CA,2022-02-11 19:13:17,52.1415,-122.1445,22.23,60,22,1.01
166,Bengkulu,ID,2022-02-11 19:15:39,-3.8004,102.2655,74.52,88,100,5.21
167,Richmond,US,2022-02-11 19:12:07,37.5538,-77.4603,69.78,26,0,23.02
168,Port Hardy,CA,2022-02-11 19:15:40,50.6996,-127.4199,43.75,81,100,5.75
169,Sesheke,ZM,2022-02-11 19:15:40,-17.4759,24.2968,66.87,92,95,7.38
170,Longyearbyen,SJ,2022-02-11 19:15:41,78.2186,15.6401,21.04,93,75,2.3
171,Cayenne,GF,2022-02-11 19:15:42,4.9333,-52.3333,80.64,90,75,8.05
172,Esperance,AU,2022-02-11 19:15:42,-33.8667,121.9,73.24,84,100,4.9
173,Torbay,CA,2022-02-11 19:14:39,47.6666,-52.7314,43.57,82,100,23.02
174,Udachnyy,RU,2022-02-11 19:15:44,66.4167,112.4,-7.31,100,99,3.56
175,Narsaq,GL,2022-02-11 19:15:44,60.9167,-46.05,23.22,74,100,4.07
176,Te Anau,NZ,2022-02-11 19:15:45,-45.4167,167.7167,55.31,88,97,1.81
177,Saldanha,ZA,2022-02-11 19:15:45,-33.0117,17.9442,65.53,90,0,21.0
178,Horsham,GB,2022-02-11 19:15:46,51.064,-0.3272,43.45,69,0,3.44
179,Marystown,CA,2022-02-11 19:15:46,47.1666,-55.1483,39.85,100,91,10.0
180,Buala,SB,2022-02-11 19:15:48,-8.145,159.5921,75.74,96,100,3.06
181,Tazovskiy,RU,2022-02-11 19:15:48,67.4667,78.7,-3.87,80,93,14.5
182,Fengkou,CN,2022-02-11 19:16:49,30.0833,113.2667,38.23,92,21,4.72
183,Kulhudhuffushi,MV,2022-02-11 19:16:50,6.6221,73.07,81.64,72,98,5.55
184,Solnechnyy,RU,2022-02-11 19:16:50,50.7214,136.6319,7.88,95,100,4.63
185,Plettenberg Bay,ZA,2022-02-11 19:16:51,-34.0527,23.3716,65.66,80,0,1.92
186,Ballitoville,ZA,2022-02-11 19:16:52,-29.539,31.2144,79.25,83,75,1.14
187,Beloha,MG,2022-02-11 19:16:53,-25.1667,45.05,74.8,90,58,12.88
188,Ulaanbaatar,MN,2022-02-11 19:16:53,47.9077,106.8832,-27.27,68,0,4.47
189,Dingle,PH,2022-02-11 19:16:54,10.9995,122.6711,74.59,91,100,7.02
190,Camalu,MX,2022-02-11 19:16:55,30.85,-116.0667,72.75,23,0,3.6
191,Melville,US,2022-02-11 19:16:56,40.7934,-73.4151,59.25,52,0,19.57
192,La Ronge,CA,2022-02-11 19:15:41,55.1001,-105.2842,-16.35,52,83,2.3
193,Dvorichna,UA,2022-02-11 19:16:57,49.8496,37.6857,34.92,100,100,10.11
194,Sept-Iles,CA,2022-02-11 19:16:58,50.2001,-66.3821,22.05,62,20,8.05
195,Gravdal,NO,2022-02-11 19:16:59,68.1214,13.5031,24.48,93,40,4.61
196,Ofaqim,IL,2022-02-11 19:16:59,31.3141,34.6203,52.74,75,0,6.51
197,Ardakan,IR,2022-02-11 19:17:00,32.31,54.0175,55.78,25,7,10.87
198,Manta,EC,2022-02-11 19:17:00,-0.95,-80.7333,83.98,74,40,10.36
199,Faanui,PF,2022-02-11 19:17:01,-16.4833,-151.75,81.54,72,87,14.76
200,Tuatapere,NZ,2022-02-11 19:17:01,-46.1333,167.6833,54.82,82,52,6.24
201,Buchanan,LR,2022-02-11 19:17:02,5.8808,-10.0467,84.16,81,31,8.7
202,Mogadishu,SO,2022-02-11 19:17:03,2.0371,45.3438,76.96,77,2,21.14
203,Dakar,SN,2022-02-11 19:17:03,14.6937,-17.4441,94.08,62,23,19.48
204,Sao Filipe,CV,2022-02-11 19:17:04,14.8961,-24.4956,79.57,53,12,15.64
205,Severo-Kurilsk,RU,2022-02-11 19:17:04,50.6789,156.125,23.36,91,100,4.36
206,Dikson,RU,2022-02-11 19:12:08,73.5069,80.5464,2.34,82,100,28.41
207,Klaksvik,FO,2022-02-11 19:17:05,62.2266,-6.589,40.12,74,100,12.21
208,Quelimane,MZ,2022-02-11 19:17:06,-17.8786,36.8883,76.6,80,99,4.85
209,Gawler,AU,2022-02-11 19:15:41,-34.6,138.7333,64.24,62,0,9.19
210,Lenger,KZ,2022-02-11 19:17:07,42.183,69.8839,38.64,79,100,3.44
211,Anadyr,RU,2022-02-11 19:17:07,64.75,177.4833,-35.9,67,0,6.71
212,Cuca,RO,2022-02-11 19:17:08,45.7333,27.8833,45.66,54,6,2.84
213,Srednekolymsk,RU,2022-02-11 19:17:08,67.45,153.6833,-38.09,100,31,5.77
214,Teknaf,BD,2022-02-11 19:17:09,20.8624,92.3058,63.99,80,3,9.44
215,Kungurtug,RU,2022-02-11 19:17:09,50.5994,97.5228,-25.53,99,47,1.95
216,Hualmay,PE,2022-02-11 19:17:10,-11.0964,-77.6139,75.6,69,29,12.44
217,Keflavik,IS,2022-02-11 19:17:10,64.0049,-22.5624,30.63,64,75,14.97
218,Yulin,CN,2022-02-11 19:17:11,22.6333,110.15,56.43,91,100,5.1
219,North Myrtle Beach,US,2022-02-11 19:17:12,33.816,-78.68,72.09,57,0,8.05
220,Ilulissat,GL,2022-02-11 19:15:59,69.2167,-51.1,24.82,74,75,2.3
221,Natal,BR,2022-02-11 19:17:13,-5.795,-35.2094,86.65,70,40,16.11
222,Kahului,US,2022-02-11 19:17:14,20.8947,-156.47,76.26,75,20,5.01
223,Inta,RU,2022-02-11 19:17:14,66.0317,60.1659,7.23,76,100,11.65
224,Marovoay,MG,2022-02-11 19:17:15,-16.1,46.6333,82.54,92,59,4.0
225,Meybod,IR,2022-02-11 19:17:17,32.2501,54.0166,55.42,25,7,12.21
226,Price,US,2022-02-11 19:14:23,39.5994,-110.8107,52.86,28,0,14.97
227,Tecpan,GT,2022-02-11 19:17:18,14.7623,-90.9947,70.56,43,38,4.9
228,Maumere,ID,2022-02-11 19:17:18,-8.6199,122.2111,77.88,89,100,7.09
229,Erdaojiang,CN,2022-02-11 19:18:20,41.7764,126.0319,6.91,99,99,2.66
230,Anito,PH,2022-02-11 19:18:21,12.4497,125.2886,75.99,97,100,14.99
