City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Basco,PH,73.94,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
574,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
579,Hualmay,PE,70.84,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
581,Sao Joao Dos Patos,BR,69.46,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
582,Yarada,IN,77.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
584,Tura,IN,70.39,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
585,Manokwari,ID,81.91,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
590,Tezu,IN,71.13,clear sky,27.9167,96.1667,Circuit House
592,Nargana,PA,78.84,overcast clouds,9.4428,-78.5906,Dubbir
594,Barra Do Garcas,BR,70.92,few clouds,-15.89,-52.2567,Pousada Tropical
595,Caninde,BR,72.16,scattered clouds,-4.3589,-39.3117,Hotel Casa Grande II
599,Sirpur,IN,73.09,clear sky,19.4833,79.6,Nandu Patel
600,San Rafael,AR,73.98,broken clouds,-34.6177,-68.3301,Hotel San Rafael
607,Kirakira,SB,81.45,overcast clouds,-10.4544,161.9205,SanBiz Lodge
611,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
616,Tabuk,PH,81.28,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
617,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
623,Sungaipenuh,ID,81.09,overcast clouds,-2.0833,101.3833,penginapan citra alam
625,Issia,CI,71.46,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
627,Tuy Hoa,VN,75.34,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
628,Negombo,LK,80.65,broken clouds,7.2083,79.8358,Hotel Sunset Beach
629,Gilbues,BR,70.56,broken clouds,-9.8317,-45.3439,Hotel Camapuã
632,Victoria Point,AU,82.53,light rain,-27.5833,153.3,Bay Retreat Motel
637,Madanapalle,IN,71.76,clear sky,13.55,78.5,Prithvi Lodge
641,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
647,Sotouboua,TG,78.84,overcast clouds,8.5667,0.9833,Auberge Médina
652,Nelson Bay,AU,82.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
655,Salina Cruz,MX,69.53,scattered clouds,16.1667,-95.2,Amerik HOTEL
